GB801910150,000451784-0103
GB801060665,000438669-0103
GB801131541,000501654-0403
GB801131540,002217906-0403
GB801050634,000230326-0103
GB801050635,000231772-0208
GB801222136,001371271-0104
GB801222139,000503653-0103
GB801222138,001035916-0103
GB801921033,000504603-0103
GB801060673,000437074-0102
GB801141586,000533068-0103
GB802920040,001155981-0503
GB801850274,000305544-0103
GB801141588,000177276-0403
GB801060670,000176103-0403
GB802080019,000222577-0504
GB801141589,000916489-0103
DB801090573,000521319-0403
GB801060678,222230872-0403
GB802080010,002208298-0503
GB801222104,002488426-0103
GB801970519,000285062-0204
GB801222106,003526406-0102
GB801191991,000442244-0403
GB801040437,000282853-0401
GB801040438,000705293-0102
GB801191990,000090999-0103
GB801222111,003511065-0103
GB801840140,000166646-0403
GB801040439,000156686-0103
GB802090118,000456811-0503
GB801121402,000528135-0403
GB801120797,000447873-0403
GB801191999,000171985-0102
GB801040430,000534945-0206
GB801191997,001377656-0103
GB801191998,001588279-0403
GB801121406,000828314-0103
GB801990598,000293526-0304
GB801191993,001584024-0304
GB801840128,000214605-0403
GB801222115,002879526-0403
GB801222114,002218001-0403
GB802030062,000802167-0504
GB801222119,001658529-0103
GB802020019,000409994-0503
GB801222118,003650301-0102
DB801080436,000197541-0102
GB801191980,000280396-0403
GB801121411,000130801-0403
GB801040427,000171173-0103
GB801222120,004167743-0103
GB801222122,002405667-0403
GB801121414,000398353-0401
GB801191988,001543424-0103
GB801191989,000808685-0403
GB801191986,000948528-0103
GB801121418,000472717-0102
GB802020020,000524128-0504
GB801840132,000413596-0102
GB801191987,001067896-0103
GB801191984,000286012-0103
GB801040422,004038749-0103
GB801191982,001198323-0403
GB801080914,002175415-0401
GB801181930,000291306-0102
GB801131477,001747972-0102
GB801080913,000483126-0403
GB801181932,000673026-0304
GB801181933,000563198-0102
GB801080918,000273173-0403
GB801181934,000949198-0103
GB801080917,000316041-0403
GB801181935,000294724-0401
GB801191970,000266417-0103
GB801121422,001517382-0403
GB801121421,000248309-0102
GB801040414,000980994-0103
GB801121425,00368656 -0103
GB801121424,000232131-0403
GB801191977,000823136-0103
GB801191975,001538581-0403
GB801121428,000155276-0103
GB801191973,001529407-0103
GB801131482,000487796-0306
