GB801950392,000337373-0204
GB801100624,000473006-0204
GB801040513,000424375-0102
GB801141577,001057079-0102
GB801181914,000154466-0102
GB801020227,000319326-0103
GB801192009,000388772-0204
GB801192006,000606427-0404
GB801192004,001232351-0103
GB801080930,000378925-0103
GB801020241,000164462-0403
GB801091041,000927329-0204
GB801131523,000390903-0305
GB801111259,000415302-0103
GB801161757,000452946-0102
GB801091047,000089191-0103
GB801030266,000107153-0103
GB801141564,000423132-0204
GB801141566,001653184-0103
GB801181903,000182004-0403
GB801111264,000108987-0403
GB801020235,000291051-0204
GB801191943,000381259-0401
GB801080922,000608205-0403
GB801181908,000131929-0103
GB801181909,000355181-0103
GB801080920,000216597-0204
GB801191937,000133779-0305
GB801091133,000927595-0403
GB801222126,004237156-0403
GB801091134,002091189-0103
GB801920196,000291215-0204
GB801050620,000290417-0403
GB801060661,000316526-0103
DB801090563,001926315-0204
GB802960257,000513807-0505
GB801060667,000492251-0403
GB801080831,000203465-0103
GB801990592,002236693-0204
GB801970501,000337982-0204
GB801091020,000918461-0103
GB801091025,000224982-0403
GB801222136,001371271-0104
GB801980546,000411349-0204
GB801970509,000094467-0204
GB801920181,000189129-0204
GB802200002,001797582-0505
GB801222140,001636795-0101
GB801141584,000158288-0403
DB801100672,001833564-0103
GB801222143,000919332-0204
DB801090573,000521319-0403
DB801100675,000865613-0304
GB801111286,000296653-0103
GB801020216,000196916-0204
GB801990223,000122276-0103
GB802140009,000365344-0502
